,asset_id,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,name,type_is_crypto
0,BTC,2018-04-01,2018-04-01T04:37:04.0531775Z,2014-03-17T00:39:10.0000000Z,2018-04-01T04:38:02.7932723Z,2014-02-24T17:43:05.0000000Z,2010-07-17,6022,4031667176.0,2018-04-01T07:09:41.0000000Z,2010-07-17T23:09:17.0000000Z,Bitcoin,1
1,CNY,2018-04-01,2018-04-01T02:21:58.9661631Z,2015-02-11T16:50:54.6130000Z,2018-03-31T22:56:47.9860000Z,2015-02-11T16:50:54.6130000Z,2011-06-13,178,2825771572.0,2018-03-30T12:56:21.0000000Z,2011-06-13T05:13:24.0000000Z,Yuan Renminbi,0
2,ETH,2018-04-01,2018-04-01T04:37:16.6464023Z,2016-03-15T00:09:32.6030000Z,2018-04-01T04:38:37.2465316Z,2015-08-10T13:45:07.8130000Z,2015-08-10,2101,494904194.0,2018-04-01T07:51:26.0000000Z,2015-08-15T06:08:03.0000000Z,Ethereum,1
3,USD,2018-04-01,2018-04-01T04:37:54.5286777Z,2014-03-17T00:39:10.0000000Z,2018-04-01T04:38:14.6328512Z,2014-02-24T17:43:05.0000000Z,2010-07-17,3115,466259677.0,2018-04-01T03:59:49.0000000Z,2010-07-17T23:09:17.0000000Z,US Dollar,0
4,LTC,2018-04-01,2018-04-01T04:38:02.6328753Z,2014-04-20T15:59:49.8200000Z,2018-04-01T04:38:14.6328512Z,2014-04-20T15:06:34.0000000Z,2013-12-06,992,463637537.0,2018-04-01T06:18:10.0000000Z,2013-12-06T22:07:48.5030000Z,Litecoin,1
5,USDT,2018-04-01,2018-04-01T04:37:58.7403407Z,2016-05-29T15:05:07.0483915Z,2018-04-01T04:38:23.7410000Z,2016-06-12T11:53:38.1680117Z,2013-12-27,577,259326348.0,2018-04-01T04:38:23.7390000Z,2013-12-27T08:23:37.0000000Z,Tether,1
6,KRW,2018-04-01,2018-04-01T01:53:19.0988619Z,2014-08-05T01:19:29.1670000Z,2018-04-01T01:45:16.6787955Z,2014-07-31T13:05:46.0000000Z,2013-09-03,51,169458264.0,2018-04-01T01:44:59.1450000Z,2013-09-03T06:31:37.0000000Z,Won,0
7,XRP,2018-04-01,2018-04-01T04:36:46.2349624Z,2014-08-05T01:14:47.9900000Z,2018-04-01T04:36:44.2157219Z,2014-07-31T13:05:46.0000000Z,2013-11-25,82,137730589.0,2018-04-01T06:20:20.0000000Z,2013-11-25T11:54:57.9270000Z,Ripple,1
8,EUR,2018-04-01,2018-04-01T04:36:41.5709353Z,2014-04-20T16:09:29.9000000Z,2018-04-01T03:55:26.6787872Z,2014-04-20T15:06:33.0000000Z,2011-04-06,150,108783998.0,2018-04-01T02:35:17.0000000Z,2011-04-06T02:17:41.0000000Z,Euro,0
9,JPY,2018-04-01,2018-04-01T04:36:54.1056918Z,2016-10-17T13:33:24.2490900Z,2018-04-01T04:36:54.1056918Z,2014-11-14T01:42:12.5570000Z,2011-08-27,43,94377652.0,2018-04-01T04:36:16.0000000Z,2011-08-27T07:48:27.0000000Z,Yen,0
10,ETC,2018-04-01,2018-04-01T02:37:00.5805379Z,2016-07-24T04:19:23.6239709Z,2018-04-01T02:37:00.5805379Z,2016-07-24T04:14:11.6591746Z,2016-07-24,86,79483022.0,2018-04-01T02:59:40.0000000Z,2016-07-24T15:34:44.0000000Z,Ethereum Classic,1
11,BCH,2018-04-01,2018-04-01T04:36:24.3722256Z,2017-08-01T14:14:07.9333039Z,2018-04-01T04:36:24.3722256Z,2017-08-01T14:14:07.9333039Z,2017-08-01,140,69763343.0,2018-04-01T06:37:16.0000000Z,2017-08-01T14:39:13.0000000Z,Bitcoin Cash,1
12,XMR,2018-04-01,2018-04-01T02:37:53.0210242Z,2016-05-29T15:05:07.0483915Z,2018-04-01T02:39:58.0437902Z,2016-06-12T11:53:38.1680117Z,2016-05-29,72,40820401.0,2018-04-01T02:20:03.0000000Z,2016-05-29T15:06:50.0000000Z,Monero,1
13,NEO,2018-04-01,2018-04-01T02:38:44.5208838Z,2017-08-08T00:03:32.2458553Z,2018-04-01T02:38:44.5208838Z,2017-08-08T00:03:32.2458553Z,2017-08-07,60,39933081.0,2018-04-01T02:11:05.0000000Z,2017-08-07T23:38:28.0000000Z,NEO,1
14,ZEC,2018-04-01,2018-04-01T04:22:10.6308575Z,2016-10-28T17:22:33.1190169Z,2018-04-01T04:22:10.6308575Z,2016-10-28T17:21:31.3846036Z,2016-10-28,80,33959008.0,2018-04-01T06:23:51.0000000Z,2016-10-28T19:53:32.0000000Z,Zcash,1
15,EOS,2018-04-01,2018-04-01T03:13:32.5043434Z,2017-06-23T07:45:46.6733048Z,2018-04-01T03:13:32.5043434Z,2017-06-23T07:45:46.6733048Z,2017-06-23,50,33908861.0,2018-04-01T03:09:03.0000000Z,2017-06-23T07:45:29.0000000Z,EOS,1
16,TRX,2018-04-01,2018-04-01T04:17:35.4884646Z,2017-09-23T17:49:17.4793009Z,2018-04-01T04:17:35.4884646Z,2017-09-23T17:49:17.4793009Z,2017-09-23,37,31674342.0,2018-04-01T04:11:35.0000000Z,2017-09-23T16:28:20.0000000Z,TRON,1
17,DASH,2018-04-01,2018-04-01T03:08:08.1090577Z,2016-05-29T15:05:07.0327672Z,2018-04-01T03:08:08.1090577Z,2016-06-12T11:53:38.1523879Z,2016-05-11,135,30318064.0,2018-04-01T02:52:29.0000000Z,2016-05-11T17:29:38.0000000Z,Dash,1
18,BNB,2018-04-01,2018-04-01T04:38:03.4747150Z,2017-03-19T01:03:17.3570790Z,2018-04-01T04:38:43.4460000Z,2017-03-19T01:03:17.3570790Z,2017-01-14,58,27702086.0,2018-04-01T04:27:02.3290000Z,2017-01-14T00:06:54.0000000Z,Binance Coin,1
19,IOTA,2018-04-01,2018-04-01T02:38:45.5238273Z,2017-06-13T16:51:17.5837796Z,2018-04-01T02:38:45.5238273Z,2017-06-13T16:51:17.1775282Z,2017-06-13,18,26401156.0,2018-04-01T02:12:25.0000000Z,2017-06-13T16:51:20.0000000Z,MIOTA,1
20,DOGE,2018-04-01,2018-04-01T04:36:19.6496705Z,2014-08-05T01:12:28.2900000Z,2018-04-01T04:27:51.8910464Z,2014-07-31T13:05:46.0000000Z,2014-02-21,1545,24788530.0,2018-04-01T04:11:35.0000000Z,2014-02-21T05:16:16.8330000Z,DogeCoin,1
21,QTUM,2018-04-01,2018-04-01T04:38:03.4747150Z,2017-03-16T10:16:54.4449194Z,2018-04-01T04:38:43.4460000Z,2017-03-16T10:16:54.4449194Z,2017-03-16,72,23465318.0,2018-04-01T04:38:23.7390000Z,2017-03-16T12:04:41.0000000Z,Qtum,1
22,XVG,2018-04-01,2018-04-01T04:14:21.0948288Z,2017-03-14T20:06:01.2605150Z,2018-04-01T04:14:21.0948288Z,2017-03-14T20:06:01.2605150Z,2015-06-13,32,20143340.0,2018-04-01T04:21:25.0000000Z,2015-06-13T02:54:59.0000000Z,Verge,1
23,OMG,2018-04-01,2018-04-01T02:34:34.4079438Z,2017-06-12T09:23:52.9690799Z,2018-04-01T02:33:48.9691276Z,2017-06-12T09:23:52.9690799Z,2017-06-12,53,20059019.0,2018-04-01T05:55:58.0000000Z,2017-06-12T11:58:38.0000000Z,OmiseGo,1
24,BCC,2018-04-01,2018-04-01T02:49:08.2360316Z,2017-03-18T22:53:41.5501009Z,2018-04-01T02:49:08.2360316Z,2017-03-18T22:53:41.4094730Z,2017-03-18,42,19896105.0,2018-04-01T02:32:02.0000000Z,2017-03-18T22:58:09.0000000Z,BitConnect,1
25,XLM,2018-04-01,2018-04-01T04:37:16.0310838Z,2016-10-17T13:52:05.4718031Z,2018-04-01T04:37:16.0310838Z,2016-02-05T16:06:41.5570000Z,2016-02-05,30,19040438.0,2018-04-01T04:32:44.7420000Z,2016-10-17T13:55:21.5640000Z,Stellar Lumens,1
26,XEM,2018-04-01,2018-04-01T04:37:01.0355127Z,2016-05-29T15:05:07.0483915Z,2018-04-01T04:36:37.0062287Z,2016-06-12T11:53:38.1680117Z,2016-05-29,32,17495580.0,2018-04-01T04:34:40.0000000Z,2016-05-29T15:13:37.0000000Z,NEM,1
27,ADA,2018-04-01,2018-04-01T01:20:56.3318177Z,2017-10-01T20:09:32.9959020Z,2018-04-01T01:20:56.3318177Z,2017-09-29T07:11:06.6463948Z,2017-09-29,14,16812919.0,2018-04-01T01:22:34.3890000Z,2017-10-01T20:08:31.0000000Z,Cardano,1
28,LSK,2018-04-01,2018-04-01T03:35:03.9811254Z,2016-05-29T15:05:07.0327672Z,2018-04-01T03:35:03.9811254Z,2016-06-12T11:53:38.1523879Z,2016-05-29,32,14519175.0,2018-04-01T03:24:33.0000000Z,2016-05-29T15:05:08.0000000Z,Lisk,1
29,NXT,2018-04-01,2018-04-01T02:23:43.4670590Z,2016-05-29T15:05:07.0327672Z,2018-04-01T02:20:56.8263505Z,2016-06-12T11:53:38.1523879Z,2014-09-28,27,14460859.0,2018-04-01T02:17:51.0000000Z,2014-09-28T12:59:23.0000000Z,Nxt,1
30,VEN,2018-04-01,2018-04-01T01:56:22.3721459Z,2014-08-06T00:49:36.2730000Z,2018-04-01T02:02:09.5079787Z,2014-07-31T13:05:46.0000000Z,2013-10-22,28,13259680.0,2018-04-01T01:54:41.0000000Z,2013-10-22T23:09:46.8630000Z,VeChain,1
31,RUB,2018-04-01,2018-04-01T02:38:57.7717073Z,2017-03-14T20:04:25.0779799Z,2018-04-01T02:38:57.7717073Z,2017-03-14T20:04:25.0779799Z,2011-09-11,27,12750543.0,2018-04-01T01:16:42.0000000Z,2011-09-11T16:00:53.0000000Z,Russian Ruble,0
32,STR,2018-04-01,2018-04-01T02:20:03.9825738Z,2014-09-10T15:48:00.7370000Z,2018-04-01T02:20:42.8702153Z,2014-09-10T15:35:24.5730000Z,2014-09-04,4,12462118.0,2018-04-01T02:18:50.0000000Z,2014-09-04T13:48:34.9600000Z,StarCoin,1
33,ICX,2018-04-01,2018-04-01T02:12:00.4935475Z,2017-09-28T03:25:15.5191474Z,2018-04-01T02:12:00.4935475Z,2017-09-28T03:25:15.5191474Z,2017-09-26,13,10923896.0,2018-04-01T01:58:58.0000000Z,2017-09-26T01:10:38.3490000Z,ICON,1
34,STRAT,2018-04-01,2018-04-01T02:27:47.7320000Z,2016-12-19T04:26:29.5380153Z,2018-04-01T02:29:19.7220000Z,2016-12-19T04:24:26.3817014Z,2016-12-19,19,10887918.0,2018-04-01T02:04:05.0000000Z,2016-12-19T05:41:33.0000000Z,Stratis,1
35,RUR,2018-04-01,2018-04-01T04:29:53.8611384Z,2014-04-20T16:09:31.3230000Z,2018-04-01T04:27:49.4739114Z,2014-04-20T15:06:32.0000000Z,2014-04-20,622,9953613.0,2018-04-01T04:21:25.0000000Z,2014-04-20T04:20:53.0000000Z,Russian Ruble,0
36,SC,2018-04-01,2018-04-01T02:19:04.4526913Z,2016-05-29T15:05:07.0483915Z,2018-04-01T02:19:21.1578110Z,2016-06-12T11:53:39.0586408Z,2016-05-17,10,9859563.0,2018-04-01T02:13:41.0000000Z,2016-05-17T05:03:07.0000000Z,Siacoin,1
37,BTS,2018-04-01,2018-04-01T02:58:13.8405385Z,2016-05-29T15:05:07.0327672Z,2018-04-01T02:58:13.8405385Z,2016-06-12T11:53:38.1523879Z,2014-09-27,25,9733304.0,2018-04-01T02:15:03.0000000Z,2014-09-27T15:51:07.0000000Z,BitShares,1
38,DGB,2018-04-01,2018-04-01T02:38:07.3904712Z,2016-05-29T15:05:07.0327672Z,2018-04-01T02:38:07.3904712Z,2016-06-12T11:53:38.1523879Z,2015-06-13,23,9526089.0,2018-04-01T02:04:05.0000000Z,2015-06-13T02:55:52.0000000Z,DigiByte,1
39,BTG,2018-04-01,2018-04-01T02:31:41.2006750Z,2017-04-10T11:48:48.7637553Z,2018-04-01T02:31:41.2006750Z,2017-04-10T11:48:48.7637553Z,2017-04-10,57,9150681.0,2018-04-01T02:40:37.0000000Z,2017-04-10T18:51:47.0000000Z,Bitcoin Gold,1
40,ADX,2018-04-01,2018-04-01T01:52:55.4513068Z,2017-06-30T15:48:08.3721736Z,2018-04-01T01:52:55.4513068Z,2017-06-30T15:48:08.3721736Z,2017-06-30,13,8943103.0,2018-04-01T01:51:51.0000000Z,2017-06-30T12:06:56.7820000Z,AdEx,1
41,WAVES,2018-04-01,2018-04-01T04:36:20.5485616Z,2017-03-14T20:40:05.3685831Z,2018-04-01T04:36:53.3904817Z,2017-03-14T20:40:05.3685831Z,2017-02-15,677,8527488.0,2018-04-01T07:27:19.0000000Z,2017-02-15T11:28:37.0000000Z,Waves,1
42,GNT,2018-04-01,2018-04-01T03:03:46.3704219Z,2017-02-22T21:48:27.5336497Z,2018-04-01T03:03:46.3704219Z,2017-02-22T21:48:27.5336497Z,2016-11-16,41,8456770.0,2018-04-01T02:04:31.0000000Z,2016-11-16T15:13:30.0000000Z,Golem,1
43,SNT,2018-04-01,2018-04-01T04:31:32.1010022Z,2017-06-09T00:00:37.4121002Z,2018-04-01T03:45:41.3591869Z,2017-06-09T00:00:37.4121002Z,2017-06-08,40,8146891.0,2018-04-01T02:03:05.0000000Z,2017-06-08T06:04:54.0000000Z,Status,1
