,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
0,2018-03-09,2018-03-09T23:36:52.2077617Z,2015-02-15T13:05:36.1970000Z,2018-03-09T23:34:52.5800000Z,2015-02-15T12:53:50.3430000Z,2013-06-12,2,2085401174.0,2018-03-09T23:23:30.4030000Z,2013-06-12T14:24:24.0000000Z,OKCOIN_CNY,OKCoin CNY,https://www.okcoin.cn/
1,2018-04-01,2018-04-01T04:37:16.6464023Z,2017-03-14T20:03:47.4782440Z,2018-04-01T04:38:37.2465316Z,2017-03-14T20:03:47.4782440Z,2017-01-26,340,300225464.0,2018-04-01T04:11:58.7430000Z,2017-01-26T19:48:55.0000000Z,BITTREX,Bittrex,https://bittrex.com/
2,2018-04-01,2018-04-01T02:20:03.9825738Z,2016-05-29T15:05:07.0327672Z,2018-04-01T02:20:57.7169774Z,2016-06-12T11:53:38.1523879Z,2016-05-29,173,245597751.0,2018-04-01T02:20:03.0000000Z,2016-05-29T15:05:08.0000000Z,POLONIEX,POLONIEX,https://poloniex.com/
3,2018-03-31,2018-03-31T23:17:57.2937332Z,2014-04-20T15:59:49.8200000Z,2018-03-31T23:18:01.1374790Z,2014-02-24T17:43:05.0000000Z,2013-03-31,112,203120880.0,2018-03-31T23:17:36.0000000Z,2013-03-31T22:07:48.0000000Z,BITFINEX,Bitfinex,https://www.bitfinex.com/
4,2018-04-01,2018-04-01T00:12:34.3816590Z,2015-05-17T00:51:32.6370000Z,2018-04-01T00:13:07.8992557Z,2015-05-17T00:51:32.6370000Z,2015-01-14,13,134458496.0,2018-04-01T00:11:15.7040000Z,2015-01-14T16:07:05.0000000Z,COINBASE,GDAX,https://www.gdax.com/
5,2018-04-01,2018-04-01T01:45:43.5089309Z,2014-08-05T00:23:13.9670000Z,2018-04-01T01:46:11.6929395Z,2014-07-31T13:05:46.0000000Z,2013-10-22,90,131577726.0,2018-04-01T01:46:05.0730000Z,2013-10-22T23:09:46.8630000Z,KRAKEN,Kraken,https://www.kraken.com/
6,2018-03-09,2018-03-09T23:36:52.0046152Z,2015-03-29T04:20:18.0000000Z,2018-03-09T23:36:46.2227576Z,2015-03-29T04:20:18.0000000Z,2011-06-13,3,118500419.0,2018-03-09T23:34:52.2430000Z,2011-06-13T05:13:24.0000000Z,BTCCHINA,BTCCHINA,https://www.btcchina.com/
7,2018-03-31,2018-03-31T23:23:01.7706400Z,2014-03-17T00:39:10.0000000Z,2018-03-31T23:23:35.9824595Z,2014-02-24T17:43:05.0000000Z,2011-09-13,15,51008633.0,2018-03-31T23:23:29.0000000Z,2011-09-13T13:53:36.0000000Z,BITSTAMP,Bitstamp Ltd.,https://www.bitstamp.net/
8,2018-04-01,2018-04-01T02:07:59.1219409Z,2015-02-15T16:41:33.4030000Z,2018-04-01T02:08:53.4703045Z,2015-02-15T12:53:46.6330000Z,2015-02-14,5,20114594.0,2018-04-01T02:02:07.0000000Z,2015-02-14T16:15:05.5900000Z,OKCOIN_USD,OKCoin USD,https://www.okcoin.com/
9,2018-03-31,2018-03-31T23:40:02.1892464Z,2015-05-17T14:57:14.3470000Z,2018-03-31T01:06:42.8108184Z,2015-05-17T14:57:14.3470000Z,2015-05-17,2,19595199.0,2018-03-09T23:34:06.0410000Z,2015-05-17T15:04:12.0000000Z,BTCTRADE,BTCTRADE,https://www.btctrade.com/
10,2018-04-01,2018-04-01T01:25:58.1788152Z,2017-03-18T22:53:42.3820177Z,2018-04-01T01:25:59.2745724Z,2017-03-18T22:53:42.0948480Z,2015-10-08,3,9633736.0,2018-04-01T01:25:16.1110000Z,2015-10-08T13:40:07.8010000Z,GEMINI,Gemini,https://gemini.com/
