,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
0,2018-03-09,2018-03-09T23:36:52.2077617Z,2015-02-15T13:05:36.1970000Z,2018-03-09T23:34:52.5800000Z,2015-02-15T12:53:50.3430000Z,2013-06-12,2,2085401174.0,2018-03-09T23:23:30.4030000Z,2013-06-12T14:24:24.0000000Z,OKCOIN_CNY,OKCoin CNY,https://www.okcoin.cn/
1,2018-04-09,2018-04-09T03:39:49.6028070Z,2017-03-14T20:03:47.4782440Z,2018-04-09T03:40:16.3301349Z,2017-03-14T20:03:47.4782440Z,2017-01-26,348,304302299.0,2018-04-09T03:39:28.1900000Z,2017-01-26T19:48:55.0000000Z,BITTREX,Bittrex,https://bittrex.com/
2,2018-04-09,2018-04-09T02:10:55.8446599Z,2016-05-29T15:05:07.0327672Z,2018-04-09T02:11:55.3274630Z,2016-06-12T11:53:38.1523879Z,2016-05-29,173,247064252.0,2018-04-09T02:10:28.0000000Z,2016-05-29T15:05:08.0000000Z,POLONIEX,POLONIEX,https://poloniex.com/
3,2018-04-08,2018-04-08T23:14:02.0024697Z,2014-04-20T15:59:49.8200000Z,2018-04-08T23:15:03.2056307Z,2014-02-24T17:43:05.0000000Z,2013-03-31,150,205912648.0,2018-04-08T23:15:00.0000000Z,2013-03-31T22:07:48.0000000Z,BITFINEX,Bitfinex,https://www.bitfinex.com/
4,2018-04-09,2018-04-09T00:38:00.0111628Z,2015-05-17T00:51:32.6370000Z,2018-04-09T00:38:16.2317430Z,2015-05-17T00:51:32.6370000Z,2015-01-14,13,135908411.0,2018-04-09T00:38:27.8450000Z,2015-01-14T16:07:05.0000000Z,COINBASE,GDAX,https://www.gdax.com/
5,2018-04-09,2018-04-09T01:50:01.5363232Z,2014-08-05T00:23:13.9670000Z,2018-04-09T01:50:19.9589514Z,2014-07-31T13:05:46.0000000Z,2013-10-22,90,132759968.0,2018-04-09T01:50:02.1710000Z,2013-10-22T23:09:46.8630000Z,KRAKEN,Kraken,https://www.kraken.com/
6,2018-03-09,2018-03-09T23:36:52.0046152Z,2015-03-29T04:20:18.0000000Z,2018-03-09T23:36:46.2227576Z,2015-03-29T04:20:18.0000000Z,2011-06-13,3,118500419.0,2018-03-09T23:34:52.2430000Z,2011-06-13T05:13:24.0000000Z,BTCCHINA,BTCCHINA,https://www.btcchina.com/
7,2018-04-08,2018-04-08T23:24:02.3457551Z,2014-03-17T00:39:10.0000000Z,2018-04-08T23:24:06.6748951Z,2014-02-24T17:43:05.0000000Z,2011-09-13,15,51653022.0,2018-04-08T23:23:15.0000000Z,2011-09-13T13:53:36.0000000Z,BITSTAMP,Bitstamp Ltd.,https://www.bitstamp.net/
8,2018-04-09,2018-04-09T02:04:57.2556656Z,2015-02-15T16:41:33.4030000Z,2018-04-09T02:05:34.4492288Z,2015-02-15T12:53:46.6330000Z,2015-02-14,5,20120699.0,2018-04-09T01:59:10.0000000Z,2015-02-14T16:15:05.5900000Z,OKCOIN_USD,OKCoin USD,https://www.okcoin.com/
9,2018-04-08,2018-04-08T15:14:02.2403873Z,2015-05-17T14:57:14.3470000Z,2018-04-07T18:25:43.1292880Z,2015-05-17T14:57:14.3470000Z,2015-05-17,6,19595199.0,2018-03-09T23:34:06.0410000Z,2015-05-17T15:04:12.0000000Z,BTCTRADE,BTCTRADE,https://www.btctrade.com/
10,2018-04-09,2018-04-09T01:35:02.3772240Z,2017-03-18T22:53:42.3820177Z,2018-04-09T01:36:05.4328753Z,2017-03-18T22:53:42.0948480Z,2015-10-08,3,9795377.0,2018-04-09T01:35:54.6420000Z,2015-10-08T13:40:07.8010000Z,GEMINI,Gemini,https://gemini.com/
11,2018-04-09,2018-04-09T01:48:01.6882922Z,2015-05-26T18:24:28.9330000Z,2018-04-09T01:48:13.1842069Z,2015-05-26T18:24:28.9330000Z,2013-08-25,3,2858355.0,2018-04-09T01:48:22.0000000Z,2013-08-25T00:21:44.0000000Z,ITBIT,itBit,https://www.itbit.com/
12,2018-03-09,2018-03-09T23:36:52.2077617Z,2015-03-29T21:46:06.2630000Z,2018-03-09T23:36:50.7701113Z,2015-03-29T21:46:06.2630000Z,2015-03-29,2,538686774.0,2018-03-09T23:30:18.0330000Z,2015-03-29T21:46:08.7030000Z,HUOBI,Huobi,https://www.huobi.com/
13,2018-04-09,2018-04-09T03:40:01.5450656Z,2017-12-18T21:08:17.3599027Z,2018-04-09T03:40:37.3680000Z,2017-12-18T21:50:58.3910192Z,2017-09-06,302,459759145.0,2018-04-09T03:40:26.8150000Z,2017-09-06T10:29:03.1290000Z,BINANCE,Binance,https://www.binance.com/
14,2018-04-09,2018-04-09T01:48:00.1777366Z,2018-01-24T00:22:17.2456560Z,2018-04-09T01:48:00.1777366Z,2018-01-24T00:22:17.2456560Z,2018-01-22,196,125007377.0,2018-04-09T01:47:59.9140000Z,2018-01-22T12:55:12.5650000Z,HUOBIPRO,Huobi Pro,https://www.huobi.pro/
15,2018-04-09,2018-04-09T03:39:22.3798339Z,2017-03-18T22:53:44.4091161Z,2018-04-09T03:39:22.3798339Z,2017-03-18T22:53:44.4091161Z,2013-12-27,578,119126616.0,2018-04-09T03:39:59.2130000Z,2013-12-27T08:23:37.0000000Z,HITBTC,HitBTC,https://hitbtc.io/
16,2018-04-08,2018-04-08T23:13:18.7482118Z,2017-09-21T13:50:30.0371289Z,2018-04-08T23:14:28.6825033Z,2017-09-21T13:50:30.0371289Z,2017-09-21,12,92086151.0,2018-04-08T23:16:55.0000000Z,2017-09-21T13:43:23.0000000Z,BITHUMB,BITHUMB,https://www.bithumb.com/
17,2018-03-09,2018-03-09T23:36:54.4892524Z,2014-04-20T16:09:29.9000000Z,2018-03-09T23:36:50.7544837Z,2014-02-24T17:43:05.0000000Z,2011-08-14,24,65974803.0,2018-03-09T23:36:51.3410000Z,2011-08-14T14:14:40.0000000Z,BTC-E,BTC-e,https://btc-e.com/
