,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
0,298.4,298.6,292.3,293.13,2017-08-20T23:59:35.0000000Z,2017-08-20T22:24:06.0000000Z,2017-08-21T00:00:00.0000000Z,2017-08-20T00:00:00.0000000Z,202,289.70277589,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
1,319.31,353.0,292.71,297.26,2017-08-21T23:59:34.0000000Z,2017-08-21T00:04:06.0000000Z,2017-08-22T00:00:00.0000000Z,2017-08-21T00:00:00.0000000Z,9772,24750.689250275,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
2,312.22,328.8,291.86,319.37,2017-08-22T23:59:35.0000000Z,2017-08-22T00:00:18.0000000Z,2017-08-23T00:00:00.0000000Z,2017-08-22T00:00:00.0000000Z,8495,17151.965292235,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
3,315.61,324.68,311.34,313.43,2017-08-23T23:58:36.0000000Z,2017-08-23T00:01:34.0000000Z,2017-08-24T00:00:00.0000000Z,2017-08-23T00:00:00.0000000Z,6718,11550.126566454,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
4,323.84,327.49,312.4,315.61,2017-08-24T23:59:33.0000000Z,2017-08-24T00:00:23.0000000Z,2017-08-25T00:00:00.0000000Z,2017-08-24T00:00:00.0000000Z,6403,8279.527551403,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
5,329.0,337.22,322.21,323.85,2017-08-25T23:59:48.0000000Z,2017-08-25T00:00:24.0000000Z,2017-08-26T00:00:00.0000000Z,2017-08-25T00:00:00.0000000Z,5052,9866.782091188,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
6,332.38,335.12,324.56,329.55,2017-08-26T23:58:35.0000000Z,2017-08-26T00:00:01.0000000Z,2017-08-27T00:00:00.0000000Z,2017-08-26T00:00:00.0000000Z,5063,8164.811421418,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
7,347.55,347.55,332.38,332.42,2017-08-27T23:59:54.0000000Z,2017-08-27T00:00:25.0000000Z,2017-08-28T00:00:00.0000000Z,2017-08-27T00:00:00.0000000Z,5049,8098.540189256,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
8,346.68,350.29,333.01,347.71,2017-08-28T23:56:42.0000000Z,2017-08-28T00:00:14.0000000Z,2017-08-29T00:00:00.0000000Z,2017-08-28T00:00:00.0000000Z,7010,14196.596516338,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
9,372.37,376.55,345.0,346.83,2017-08-29T23:59:15.0000000Z,2017-08-29T00:00:30.0000000Z,2017-08-30T00:00:00.0000000Z,2017-08-29T00:00:00.0000000Z,9804,21849.880143296,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
