,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
0,372.02,374.35,360.0,360.99,2017-08-29T23:59:36.0860000Z,2017-08-29T13:21:39.9970000Z,2017-08-30T00:00:00.0000000Z,2017-08-29T00:00:00.0000000Z,7347,74369.78839134,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
1,384.0,390.85,368.0,371.5,2017-08-30T23:59:39.8180000Z,2017-08-30T00:01:34.8770000Z,2017-08-31T00:00:00.0000000Z,2017-08-30T00:00:00.0000000Z,12597,143278.71414905,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
2,388.48,390.01,380.0,383.7,2017-08-31T23:59:36.6130000Z,2017-08-31T00:00:07.5790000Z,2017-09-01T00:00:00.0000000Z,2017-08-31T00:00:00.0000000Z,8421,105732.31727957,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
3,392.13,397.24,387.41,388.52,2017-09-01T23:59:27.2560000Z,2017-09-01T00:00:45.1170000Z,2017-09-02T00:00:00.0000000Z,2017-09-01T00:00:00.0000000Z,8502,84372.66561991,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
4,354.39,393.21,333.0,392.13,2017-09-02T23:59:57.2860000Z,2017-09-02T00:00:14.2870000Z,2017-09-03T00:00:00.0000000Z,2017-09-02T00:00:00.0000000Z,20108,199243.32688759,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
5,352.18,371.48,339.41,354.37,2017-09-03T23:57:13.7600000Z,2017-09-03T00:00:01.8040000Z,2017-09-04T00:00:00.0000000Z,2017-09-03T00:00:00.0000000Z,9689,103466.6079884,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
6,301.73,352.09,280.0,351.75,2017-09-04T23:59:47.6770000Z,2017-09-04T00:00:03.6300000Z,2017-09-05T00:00:00.0000000Z,2017-09-04T00:00:00.0000000Z,20483,196759.64765168,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
7,317.62,325.0,225.0,301.73,2017-09-05T23:59:54.6310000Z,2017-09-05T00:00:03.6190000Z,2017-09-06T00:00:00.0000000Z,2017-09-05T00:00:00.0000000Z,14592,127491.78062574,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
8,339.12,341.24,316.64,317.54,2017-09-06T23:59:03.6990000Z,2017-09-06T00:00:06.7620000Z,2017-09-07T00:00:00.0000000Z,2017-09-06T00:00:00.0000000Z,10453,102234.66433551,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
9,335.0,340.0,322.08,339.12,2017-09-07T23:59:54.3100000Z,2017-09-07T00:00:38.0120000Z,2017-09-08T00:00:00.0000000Z,2017-09-07T00:00:00.0000000Z,7364,65458.97576207,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
10,307.98,335.08,290.0,335.07,2017-09-08T23:59:07.2170000Z,2017-09-08T00:00:07.9780000Z,2017-09-09T00:00:00.0000000Z,2017-09-08T00:00:00.0000000Z,18369,133944.4245621,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
11,302.83,309.95,293.64,307.5,2017-09-09T23:59:52.5110000Z,2017-09-09T00:00:03.7760000Z,2017-09-10T00:00:00.0000000Z,2017-09-09T00:00:00.0000000Z,10298,54785.90409351,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
12,299.84,305.35,283.48,302.85,2017-09-10T23:57:48.7800000Z,2017-09-10T00:00:00.2260000Z,2017-09-11T00:00:00.0000000Z,2017-09-10T00:00:00.0000000Z,11024,79197.9243211,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
13,298.36,308.49,287.01,299.85,2017-09-11T23:59:48.0880000Z,2017-09-11T00:00:05.5730000Z,2017-09-12T00:00:00.0000000Z,2017-09-11T00:00:00.0000000Z,10380,79979.00820925,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
14,293.8,317.31,286.0,298.37,2017-09-12T23:59:50.6050000Z,2017-09-12T00:00:06.5680000Z,2017-09-13T00:00:00.0000000Z,2017-09-12T00:00:00.0000000Z,12032,95182.55277988,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
15,275.49,294.5,256.77,293.8,2017-09-13T23:59:57.7790000Z,2017-09-13T00:00:18.2990000Z,2017-09-14T00:00:00.0000000Z,2017-09-13T00:00:00.0000000Z,19042,167100.92202895,ohlcv,GEMINI_SPOT_ETH_USD,1DAY,2017-08-29T00:00:00,100000
