,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
0,2018-06-21,2018-06-21T15:52:01.8330000Z,2017-12-18T21:50:58.3910192Z,2018-06-21T15:52:01.8330000Z,2017-12-18T21:50:58.3910192Z,2017-09-06,370,460919764.0,2018-06-21T15:51:50.5070000Z,2017-09-06T10:29:03.1290000Z,BINANCE,Binance,https://www.binance.com/
1,2018-06-21,2018-06-21T15:52:02.4626386Z,2015-05-17T00:51:32.6370000Z,2018-06-21T15:52:02.4626386Z,2015-05-17T00:51:32.6370000Z,2015-01-14,13,135908411.0,2018-06-21T15:51:42.6240000Z,2015-01-14T16:07:05.0000000Z,COINBASE,GDAX,https://www.gdax.com/
2,2018-06-21,2018-06-21T15:52:03.3696649Z,2014-02-24T17:43:05.0000000Z,2018-06-21T15:52:03.3696649Z,2014-02-24T17:43:05.0000000Z,2011-09-13,15,51653022.0,2018-06-21T15:51:48.0000000Z,2011-09-13T13:53:36.0000000Z,BITSTAMP,Bitstamp Ltd.,https://www.bitstamp.net/
3,2018-03-09,2018-03-09T23:34:52.5800000Z,2015-02-15T12:53:50.3430000Z,2018-03-09T23:34:52.5800000Z,2015-02-15T12:53:50.3430000Z,2013-06-12,2,2085401174.0,2017-11-01T16:30:39.7077259Z,2013-06-12T14:24:24.0000000Z,OKCOIN_CNY,OKCoin CNY,https://www.okcoin.cn/
4,2018-06-21,2018-06-21T15:54:44.8747298Z,2017-03-14T20:03:47.4782440Z,2018-06-21T15:54:44.8747298Z,2017-03-14T20:03:47.4782440Z,2017-01-26,379,304302299.0,2018-06-21T15:54:11.8930000Z,2017-01-26T19:48:55.0000000Z,BITTREX,Bittrex,https://bittrex.com/
5,2018-06-21,2018-06-21T15:54:21.8253380Z,2016-06-12T11:53:38.1523879Z,2018-06-21T15:54:21.8253380Z,2016-06-12T11:53:38.1523879Z,2016-05-29,175,247104988.0,2018-06-21T15:53:58.0000000Z,2016-05-29T15:05:08.0000000Z,POLONIEX,POLONIEX,https://poloniex.com/
6,2018-06-21,2018-06-21T15:54:33.7052888Z,2014-02-24T17:43:05.0000000Z,2018-06-21T15:54:33.7052888Z,2014-02-24T17:43:05.0000000Z,2013-03-31,229,206824296.0,2018-06-21T15:54:14.0000000Z,2013-03-31T22:07:48.0000000Z,BITFINEX,Bitfinex,https://www.bitfinex.com/
7,2018-06-21,2018-06-21T15:55:30.6860193Z,2014-07-31T13:05:46.0000000Z,2018-06-21T15:55:30.6860193Z,2014-07-31T13:05:46.0000000Z,2013-10-22,93,136336328.0,2018-06-21T15:54:22.0360000Z,2013-10-22T23:09:46.8630000Z,KRAKEN,Kraken,https://www.kraken.com/
8,2018-06-21,2018-06-21T15:52:40.0261113Z,2018-01-24T00:22:17.2456560Z,2018-06-21T15:52:40.0261113Z,2018-01-24T00:22:17.2456560Z,2018-01-22,234,126671326.0,2018-06-21T15:52:30.1500000Z,2018-01-22T12:55:12.5650000Z,HUOBIPRO,Huobi Pro,https://www.huobi.pro/
9,2018-06-21,2018-06-21T15:54:45.5602620Z,2017-03-18T22:53:44.4091161Z,2018-06-21T15:54:45.5602620Z,2017-03-18T22:53:44.4091161Z,2013-12-27,862,120187742.0,2018-06-21T15:54:12.0000000Z,2013-12-27T08:23:37.0000000Z,HITBTC,HitBTC,https://hitbtc.com/
