source,symbol_id,period_id,request_type,time_start,time_end,limit
coinapi,BINANCE_SPOT_BTC_USDT,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,COINBASE_SPOT_LTC_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,BINANCE_SPOT_ETH_USDT,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,KRAKEN_SPOT_BTC_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,KRAKEN_SPOT_ETH_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,BINANCE_SPOT_LTC_USDT,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,GEMINI_SPOT_BTC_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,KRAKEN_SPOT_USDT_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,GEMINI_SPOT_ETH_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,KRAKEN_SPOT_XRP_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,KRAKEN_SPOT_LTC_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,COINBASE_SPOT_BCH_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,BINANCE_SPOT_BCH_USDT,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,KRAKEN_SPOT_BCH_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,KRAKEN_SPOT_XLM_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,DSX_SPOT_BTC_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,KRAKEN_SPOT_EOS_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,DSX_SPOT_ETH_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,DSX_SPOT_LTC_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,DSX_SPOT_BCH_USD,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,BINANCE_SPOT_ADA_USDT,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,BINANCE_SPOT_XRP_USDT,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,BINANCE_SPOT_EOS_USDT,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,BINANCE_SPOT_IOTA_USDT,1DAY,ohlcv,2007-01-01T00:00:00,,100000
coinapi,BINANCE_SPOT_XLM_USDT,1DAY,ohlcv,2007-01-01T00:00:00,,100000
