date,total,pnl,cash,set_aside,btc_holding,btc_price,eth_holding,eth_price
2018-01-01,100000.0,0,100000.0,0.0,0.0,13820.26,0.0,736.11
2018-01-02,100000.0,0.0,100000.0,0.0,0.0,13338.41,0.0,750.77
2018-01-03,100000.0,0.0,100000.0,0.0,0.0,14740.09,0.0,859.98
2018-01-04,100000.0,0.0,100000.0,0.0,0.0,15144.0,0.0,940.0
2018-01-05,100000.0,0.0,100000.0,0.0,0.0,15199.99,0.0,947.88
2018-01-06,100000.0,0.0,100000.0,0.0,0.0,16945.5,0.0,968.33
2018-01-07,100000.0,0.0,100000.0,0.0,0.0,17175.0,0.0,1004.9
2018-01-08,100000.0,0.0,100000.0,0.0,0.0,16150.15,0.0,1115.11
2018-01-09,100000.0,0.0,100000.0,0.0,0.0,14980.01,0.0,1135.25
2018-01-10,100000.0,0.0,100000.0,0.0,0.0,14477.55,0.0,1292.25
2018-01-11,100000.0,0.0,100000.0,0.0,0.0,14929.39,0.0,1251.81
2018-01-12,100000.0,0.0,100000.0,0.0,0.0,13301.77,0.0,1139.0
2018-01-13,100000.0,0.0,100000.0,0.0,0.0,13815.26,0.0,1259.74
2018-01-14,100000.0,0.0,100000.0,0.0,0.0,14174.38,0.0,1381.81
2018-01-15,100000.0,0.0,100000.0,0.0,0.0,13626.27,0.0,1360.53
2018-01-16,100000.0,0.0,100000.0,0.0,0.0,13597.6,0.0,1274.09
2018-01-17,100000.0,0.0,100000.0,0.0,0.0,11399.01,0.0,1065.01
2018-01-18,100000.0,0.0,100000.0,0.0,0.0,11240.19,0.0,1026.6
2018-01-19,100000.0,0.0,100000.0,0.0,0.0,11298.0,0.0,1024.11
2018-01-20,100000.0,0.0,100000.0,0.0,0.0,11535.56,0.0,1039.82
2018-01-21,100000.0,0.0,100000.0,0.0,0.0,12744.98,0.0,1149.68
2018-01-22,100000.0,0.0,100000.0,0.0,0.0,11501.0,0.0,1049.92
2018-01-23,100000.0,0.0,100000.0,0.0,0.0,10780.0,0.0,998.0
2018-01-24,100000.0,0.0,100000.0,0.0,0.0,10820.81,0.0,986.19
2018-01-25,100000.0,0.0,100000.0,0.0,0.0,11346.58,0.0,1060.0
2018-01-26,100000.0,0.0,100000.0,0.0,0.0,11114.0,0.0,1044.0
2018-01-27,100000.0,0.0,100000.0,0.0,0.0,11091.99,0.0,1048.0
