date,total,pnl,cash,set_aside,btc_holding,btc_price,eth_holding,eth_price
2017-10-01,10000.0,0,10000,0.0,0,4388.74,0,302.9
2017-10-02,10000.0,0.0,10000,0.0,0,4385.7,0,296.22
2017-10-03,10000.0,0.0,10000,0.0,0,4300.0,0,291.78
2017-10-04,10000.0,0.0,10000,0.0,0,4214.25,0,291.48
2017-10-05,10000.0,0.0,10000,0.0,0,4318.57,0,294.28
2017-10-06,10000.0,0.0,10000,0.0,0,4362.42,0,305.57
2017-10-07,10000.0,0.0,10000,0.0,0,4425.01,0,311.82
2017-10-08,10000.0,0.0,10000,0.0,0,4602.5,0,308.81
2017-10-09,10000.0,0.0,10000,0.0,0,4751.08,0,295.98
2017-10-10,10000.0,0.0,10000,0.0,0,4756.22,0,298.46
2017-10-11,10000.0,0.0,10000,0.0,0,4812.97,0,302.5
2017-10-12,10000.0,0.0,10000,0.0,0,5437.68,0,302.76
2017-10-13,10000.0,0.0,0,0.0,1.7742198755207337,5636.28,0,336.64
2017-10-14,10290.4575358215,290.45753582150064,0,0.0,1.7742198755207337,5799.99,0,337.71
2017-10-15,10103.490245339124,-186.96729048237648,0,0.0,1.7742198755207337,5694.61,0,336.49
2017-10-16,10196.228718232594,92.73847289347032,0,0.0,1.7742198755207337,5746.88,0,333.77
2017-10-17,9921.89884107958,-274.32987715301533,0,0.0,1.7742198755207337,5592.26,0,316.21
2017-10-18,9881.215979333887,-40.68286174569221,0,0.0,1.7742198755207337,5569.33,0,313.94
2017-10-19,10104.199933289334,222.98395395544685,0,0.0,1.7742198755207337,5695.01,0,308.0
2017-10-20,10616.984961712336,512.7850284230026,0,0.0,1.7742198755207337,5984.03,0,303.77
2017-10-21,10667.638939158453,50.65397744611619,0,0.0,1.7742198755207337,6012.58,0,300.01
2017-10-22,10600.91052964012,-66.72840951833314,0,0.0,1.7742198755207337,5974.97,0,294.32
2017-10-23,10467.18757762212,-133.72295201799898,0,0.0,1.7742198755207337,5899.6,0,285.02
2017-10-24,9788.743639421748,-678.4439382003729,0,0.0,1.7742198755207337,5517.21,0,296.35
2017-10-25,10186.967290482375,398.22365106062716,0,0.0,1.7742198755207337,5741.66,0,296.87
2017-10-26,10449.126019289319,262.15872880694405,0,0.0,1.7742198755207337,5889.42,0,296.06
2017-10-27,10228.945332737196,-220.180686552123,0,0.0,1.7742198755207337,5765.32,0,296.65
2017-10-28,10166.29762893256,-62.64770380463597,0,0.0,1.7742198755207337,5730.01,0,294.21
2017-10-29,10880.864683798534,714.5670548659746,0,0.0,1.7742198755207337,6132.76,0,303.22
2017-10-30,10866.546729403082,-14.317954395452034,0,0.0,1.7742198755207337,6124.69,0,306.43
2017-10-31,11440.808476512877,574.2617471097947,0,0.0,1.7742198755207337,6448.36,0,303.58
2017-11-01,11960.051665282777,519.2431887699004,0,0.0,1.7742198755207337,6741.02,0,290.4
2017-11-02,12486.036889579653,525.9852242968755,0,0.0,1.7742198755207337,7037.48,0,285.09
2017-11-03,12734.055085978696,248.01819639904352,0,0.0,1.7742198755207337,7177.27,0,305.75
2017-11-04,13078.750523394865,344.6954374161687,0,0.0,1.7742198755207337,7371.55,0,300.0
2017-11-05,13119.362416345533,40.611892950668334,0,0.0,1.7742198755207337,7394.44,0,296.04
2017-11-06,12375.201373955873,-744.16104238966,0,0.0,1.7742198755207337,6975.01,0,297.54
2017-11-07,12614.17104898976,238.96967503388623,0,0.0,1.7742198755207337,7109.7,0,292.25
2017-11-08,13245.491707296302,631.3206583065421,0,0.0,1.7742198755207337,7465.53,0,307.21
2017-11-09,12688.315697587772,-557.1760097085298,0,0.0,1.7742198755207337,7151.49,0,320.49
2017-11-10,11682.066895186188,-1006.2488024015838,0,0.0,1.7742198755207337,6584.34,0,298.01
2017-11-11,11248.554010801452,-433.512884384736,11248.554010801452,0.0,0.0,6340.0,0,314.0
2017-11-12,11248.554010801452,0.0,11248.554010801452,0.0,0.0,5849.37,0,306.47
2017-11-13,11248.554010801452,0.0,11248.554010801452,0.0,0.0,6549.31,0,314.5
2017-11-14,11248.554010801452,0.0,11248.554010801452,0.0,0.0,6606.75,0,335.39
2017-11-15,11248.554010801452,0.0,0.0,0.0,1.5424508252557647,7292.65,0,331.68
2017-11-16,12112.002558271377,863.448547469925,0.0,0.0,1.5424508252557647,7852.44,0,330.01
2017-11-17,11841.6572021288,-270.34535614257766,0.0,0.0,1.5424508252557647,7677.17,0,331.4
2017-11-18,11994.930540634465,153.27333850566538,0.0,0.0,1.5424508252557647,7776.54,0,347.37
